FY&Q,Discrepancy 1 - SW Comment,Discrepancy 2 - SW Comment,Discrepancy 3 - SW Comment,Comment 1 - Count,Comment 2 - Count,Comment 3 - Count,Total Comments,No Payment Under Client Mapping - Comment Count,SW Mapping Didn't Classify Line - Comment Count,Additional Hours: LEAVE LOADING 17.5% - Under Payment Count - Discrep 1,Vehicle Allowance as OTE - Under Payment Count - Discrep 1,MV ALLOWANCE GC as OTE - Under Payment Count - Discrep 1,Leave Loading - Under Payment Count - Discrep 1,LEAVE LOADING 17.5% - Under Payment Count - Discrep 1,Ordinary - Under Payment Count - Discrep 1,ANNUAL LEAVE LOADING - Under Payment Count - Discrep 1,Staff Training Day - Under Payment Count - Discrep 1,Additional Hours: LEAVE LOADING 17.5% - Over Payment Count - Discrep 1,Vehicle Allowance as OTE - Over Payment Count - Discrep 1,MV ALLOWANCE GC as OTE - Over Payment Count - Discrep 1,Leave Loading - Over Payment Count - Discrep 1,LEAVE LOADING 17.5% - Over Payment Count - Discrep 1,Ordinary - Over Payment Count - Discrep 1,ANNUAL LEAVE LOADING - Over Payment Count - Discrep 1,Staff Training Day - Over Payment Count - Discrep 1,Under Payment Count - Discrep 2,Over Payment Count - Discrep 2,No Super Count - Discrep 2,Client Mapping No Pay Count - Discrep 2,Refer to Discrepancy 1 Count - Discrep 3,Mapping and Payroll issue Count - Discrep 3,Refer to Discrepancy 2 Count - Discrep 3,Comment 3 - in Depth,Under Payment Count - Discrep 3 in Depth,Over Payment Count - Discrep 3 in Depth,No Super Count - Discrep 3 in Depth,Client Mapping No Pay Count - Discrep 3 in Depth
2022_Q1,No payment under Client Mapping 59483_N Description: Ordinary,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 59483_N Description: Ordinary,0,0,0,1
2022_Q1,No payment under Client Mapping 59484_N Description: Ordinary,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 59484_N Description: Ordinary,0,0,0,1
2022_Q1,"Overpayment, SW Mapping didn't classify 59522_A Description: Vehicle Allowance as OTE",No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"Overpayment, SW Mapping didn't classify 59522_A Description: Vehicle Allowance as OTE",0,1,0,0
2022_Q1,No payment under Client Mapping 59487_N Description: Ordinary,Underpayment within pay run number: 59487,Mapping and Payroll issue with pay run: 59487 refer to Discrepancy 1 and 2 for more details,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,Mapping and Payroll issue with pay run: 59487 refer to Discrepancy 1 and 2 for more details,0,0,0,0
2022_Q1,No payment under Client Mapping 59488_N Description: Ordinary,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 59488_N Description: Ordinary,0,0,0,1
2022_Q1,No payment under Client Mapping 59556_N Description: Ordinary,No Super was paid under pay run number: 59556 | No Super was paid under pay run number: 59728 | No Super was paid under pay run number: 60413,Mapping and Payroll issue with pay run: 59489 refer to Discrepancy 1 and 2 for more details,1,3,1,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,Mapping and Payroll issue with pay run: 59489 refer to Discrepancy 1 and 2 for more details,0,0,0,0
2022_Q1,No payment under Client Mapping 60416_N Description: Ordinary,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 60416_N Description: Ordinary,0,0,0,1
2022_Q1,No payment under Client Mapping 59492_N Description: Ordinary,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 59492_N Description: Ordinary,0,0,0,1
2022_Q1,No payment under Client Mapping 59495_N Description: Ordinary,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 59495_N Description: Ordinary,0,0,0,1
2022_Q1,"Overpayment, SW Mapping didn't classify 59525_A Description: Vehicle Allowance as OTE",No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"Overpayment, SW Mapping didn't classify 59525_A Description: Vehicle Allowance as OTE",0,1,0,0
2022_Q1,No payment under Client Mapping 60308_A Description: LEAVE LOADING 17.5%,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 60308_A Description: LEAVE LOADING 17.5%,0,0,0,1
2022_Q1,No payment under Client Mapping 59499_N Description: Ordinary,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 59499_N Description: Ordinary,0,0,0,1
2022_Q1,No payment under Client Mapping 59572_A Description: LEAVE LOADING 17.5%,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 59572_A Description: LEAVE LOADING 17.5%,0,0,0,1
2022_Q1,No payment under Client Mapping 59507_N Description: Ordinary,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 59507_N Description: Ordinary,0,0,0,1
2022_Q1,No payment under Client Mapping 59653_N Description: Ordinary,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 59653_N Description: Ordinary,0,0,0,1
2022_Q1,No payment under Client Mapping 59512_N Description: Ordinary,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 59512_N Description: Ordinary,0,0,0,1
2022_Q1,No Discrepancy / Immaterial,No Discrepancy / Immaterial,No Discrepancy / Immaterial,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/a,0,0,0,0
2022_Q1,No payment under Client Mapping 59823_A Description: LEAVE LOADING 17.5%,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 59823_A Description: LEAVE LOADING 17.5%,0,0,0,1
2022_Q1,No payment under Client Mapping 59493_N Description: Ordinary,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 59493_N Description: Ordinary,0,0,0,1
2022_Q1,No Discrepancy / Immaterial,Overpayment under pay run number: 60169,Refer to Discrepancy 2 - Client Map Expected / Payroll Paid for more details. Pay run: 60169,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Overpayment under pay run number: 60169,0,1,0,0
2022_Q2,No payment under Client Mapping 60699_N Description: Ordinary,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 60699_N Description: Ordinary,0,0,0,1
2022_Q2,No payment under Client Mapping 60492_N Description: Ordinary,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 60492_N Description: Ordinary,0,0,0,1
2022_Q2,No payment under Client Mapping 60496_N Description: Ordinary,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 60496_N Description: Ordinary,0,0,0,1
2022_Q2,No payment under Client Mapping 60601_N Description: Ordinary,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 60601_N Description: Ordinary,0,0,0,1
2022_Q2,No payment under Client Mapping 60500_N Description: Ordinary,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 60500_N Description: Ordinary,0,0,0,1
2022_Q2,No payment under Client Mapping 60804_N Description: Ordinary,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 60804_N Description: Ordinary,0,0,0,1
2022_Q2,No Discrepancy / Immaterial,No Discrepancy / Immaterial,No Discrepancy / Immaterial,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/a,0,0,0,0
2022_Q2,No payment under Client Mapping 60527_N Description: Ordinary,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 60527_N Description: Ordinary,0,0,0,1
2022_Q2,No payment under Client Mapping 61119_N Description: Ordinary,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 61119_N Description: Ordinary,0,0,0,1
2022_Q2,No payment under Client Mapping 61203_N Description: Ordinary,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 61203_N Description: Ordinary,0,0,0,1
2022_Q2,No payment under Client Mapping 60512_N Description: Ordinary,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 60512_N Description: Ordinary,0,0,0,1
2022_Q2,No payment under Client Mapping 60485_N Description: Ordinary,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 60485_N Description: Ordinary,0,0,0,1
2022_Q2,No payment under Client Mapping 60609_A Description: LEAVE LOADING 17.5%,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 60609_A Description: LEAVE LOADING 17.5%,0,0,0,1
2022_Q2,No payment under Client Mapping 60504_N Description: Ordinary,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 60504_N Description: Ordinary,0,0,0,1
2022_Q2,No payment under Client Mapping 9959_A Description: Leave Loading,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 9959_A Description: Leave Loading,0,0,0,1
2022_Q2,No payment under Client Mapping 60539_N Description: Ordinary,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 60539_N Description: Ordinary,0,0,0,1
2022_Q2,No payment under Client Mapping 61472_N Description: Ordinary,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 61472_N Description: Ordinary,0,0,0,1
2022_Q2,"Overpayment, SW Mapping didn't classify 9950_A Description: MV ALLOWANCE GC as OTE      No payment under Client Mapping 9960_A Description: Leave Loading",No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"Overpayment, SW Mapping didn't classify 9950_A Description: MV ALLOWANCE GC as OTE      No payment under Client Mapping 9960_A Description: Leave Loading",0,1,0,1
2022_Q2,No payment under Client Mapping 60594_N Description: Ordinary,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 60594_N Description: Ordinary,0,0,0,1
2022_Q2,No payment under Client Mapping 60517_N Description: Ordinary,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 60517_N Description: Ordinary,0,0,0,1
2022_Q2,No payment under Client Mapping 60507_N Description: Ordinary,Overpayment under pay run number: 60507 | No Super was paid under pay run number: 60599 | No Super was paid under pay run number: 60779 | No Super was paid under pay run number: 61443,Mapping and Payroll issue with pay run: 60507 refer to Discrepancy 1 and 2 for more details,1,4,1,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,Mapping and Payroll issue with pay run: 60507 refer to Discrepancy 1 and 2 for more details,0,0,0,0
2022_Q2,"Overpayment, SW Mapping didn't classify 60558_A Description: Vehicle Allowance as OTE",No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"Overpayment, SW Mapping didn't classify 60558_A Description: Vehicle Allowance as OTE",0,1,0,0
2022_Q2,No payment under Client Mapping 61213_N Description: Ordinary,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 61213_N Description: Ordinary,0,0,0,1
2022_Q2,No payment under Client Mapping 60502_N Description: Ordinary,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 60502_N Description: Ordinary,0,0,0,1
2022_Q2,No payment under Client Mapping 60508_N Description: Ordinary,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 60508_N Description: Ordinary,0,0,0,1
2022_Q2,No payment under Client Mapping 60483_A Description: LEAVE LOADING 17.5%,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 60483_A Description: LEAVE LOADING 17.5%,0,0,0,1
2022_Q2,No payment under Client Mapping 60482_A Description: LEAVE LOADING 17.5%,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 60482_A Description: LEAVE LOADING 17.5%,0,0,0,1
2022_Q2,"Overpayment, SW Mapping didn't classify 60563_A Description: Vehicle Allowance as OTE",No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"Overpayment, SW Mapping didn't classify 60563_A Description: Vehicle Allowance as OTE",0,1,0,0
2022_Q2,No payment under Client Mapping 60518_N Description: Ordinary,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 60518_N Description: Ordinary,0,0,0,1
2022_Q2,No payment under Client Mapping 60757_A Description: LEAVE LOADING 17.5%,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 60757_A Description: LEAVE LOADING 17.5%,0,0,0,1
2022_Q2,No payment under Client Mapping 9952_A Description: Leave Loading,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 9952_A Description: Leave Loading,0,0,0,1
2022_Q2,No payment under Client Mapping 60646_A Description: LEAVE LOADING 17.5%,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 60646_A Description: LEAVE LOADING 17.5%,0,0,0,1
2022_Q2,No payment under Client Mapping 60933_N Description: Ordinary,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 60933_N Description: Ordinary,0,0,0,1
2022_Q2,No payment under Client Mapping 60501_N Description: Ordinary,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 60501_N Description: Ordinary,0,0,0,1
2022_Q2,No payment under Client Mapping 60712_N Description: Ordinary,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 60712_N Description: Ordinary,0,0,0,1
2022_Q2,No payment under Client Mapping 60503_N Description: Ordinary,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 60503_N Description: Ordinary,0,0,0,1
2022_Q2,No payment under Client Mapping 60521_N Description: Ordinary,Overpayment under pay run number: 60521 | No Super was paid under pay run number: 60608 | No Super was paid under pay run number: 61118 | No Super was paid under pay run number: 61373,Mapping and Payroll issue with pay run: 60521 refer to Discrepancy 1 and 2 for more details,1,4,1,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,Mapping and Payroll issue with pay run: 60521 refer to Discrepancy 1 and 2 for more details,0,0,0,0
2022_Q3,No payment under Client Mapping 62145_N Description: Ordinary,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 62145_N Description: Ordinary,0,0,0,1
2022_Q3,No payment under Client Mapping 61803_N Description: Ordinary  No payment under Client Mapping 62459_N Description: Additional Hours,Underpayment within pay run number: 61664 | No Super was paid under pay run number: 61803 | No Super was paid under pay run number: 62077 | No Super was paid under pay run number: 62459,Mapping and Payroll issue with pay run: 61664 refer to Discrepancy 1 and 2 for more details,1,4,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,Mapping and Payroll issue with pay run: 61664 refer to Discrepancy 1 and 2 for more details,0,0,0,0
2022_Q3,No payment under Client Mapping 61813_N Description: Ordinary,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 61813_N Description: Ordinary,0,0,0,1
2022_Q3,No payment under Client Mapping 61772_N Description: Ordinary | No payment under Client Mapping 62418_N Description: Additional Hours,No Discrepancy / Immaterial,Refer to Discrepancy 1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 61772_N Description: Ordinary | No payment under Client Mapping 62418_N Description: Additional Hours,0,0,0,2
2022_Q3,No payment under Client Mapping 61654_A Description: LEAVE LOADING 17.5%       | No payment under Client Mapping 62540_A Description: ANNUAL LEAVE LOADING,No Discrepancy / Immaterial,Refer to Discrepancy 1,2,1,1,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 61654_A Description: LEAVE LOADING 17.5%       | No payment under Client Mapping 62540_A Description: ANNUAL LEAVE LOADING,0,0,0,2
2022_Q3,No payment under Client Mapping 61603_A Description: LEAVE LOADING 17.5%,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 61603_A Description: LEAVE LOADING 17.5%,0,0,0,1
2022_Q3,No Discrepancy / Immaterial,Overpayment under pay run number: 9964,Refer to Discrepancy 1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No Discrepancy / Immaterial,0,0,0,0
2022_Q3,No payment under Client Mapping 61817_N Description: Ordinary  No payment under Client Mapping 62474_N Description: Additional Hours,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 61817_N Description: Ordinary  No payment under Client Mapping 62474_N Description: Additional Hours,0,0,0,2
