QtrEMPLID,Paycode_Entry
CANP_FY2023_Q3,10027
CANP_FY2024_Q3,10075
CANS_FY2022_Q3,"61765, 61994"
CANS_FY2022_Q4,"62969, 63115"
CANS_FY2023_Q1,"64232, 65084"
CANS_FY2023_Q2,"65694, 65717, 66126"
CANS_FY2023_Q3,"66936, 67104"
CANS_FY2023_Q4,"68246, 68275"
CANS_FY2024_Q1,"70244, 71497"
CANS_FY2024_Q2,"72237, 74036"
CANS_FY2024_Q3,"74204, 74330"
CANS_FY2024_Q4,"76051, 76160, 77740"
CANT_FY2024_Q4,"77375, 77656"
CHOS_FY2023_Q3,"66964, 67033, 67130, 68031"
CHOS_FY2023_Q4,"68140, 68276, 68641"
CHOS_FY2024_Q1,"70117, 70266, 71498, 71759"
CHOS_FY2024_Q2,"72238, 72335, 72648, 73003"
CHOS_FY2024_Q3,"74129, 74244, 75487"
CHOS_FY2024_Q4,"76052, 76161, 76780, 77657"
CLAB_FY2023_Q4,69525
CLAB_FY2024_Q1,"70118, 71499"
CLAB_FY2024_Q3,"74130, 74245"
CLAB_FY2024_Q4,"76053, 77658"
COLD_FY2024_Q3,"74131, 74597"
COLD_FY2024_Q4,"76054, 77659"
COLJ_FY2022_Q1,"59521, 60059, 60222"
COLJ_FY2022_Q2,"60483, 60573, 60879"
COLJ_FY2022_Q3,"61608, 61995"
COLJ_FY2022_Q4,"62970, 63116, 63302"
COLJ_FY2023_Q1,"64308, 65085, 65185"
COLJ_FY2023_Q2,"65612, 65718, 66842"
COLJ_FY2023_Q3,66937
COLJ_FY2023_Q4,"68247, 68277, 68836, 69672"
COLJ_FY2024_Q1,"70245, 70268, 71500, 71966"
COLJ_FY2024_Q2,"72240, 74037"
COLJ_FY2024_Q3,74205
COLJ_FY2024_Q4,"76055, 76677, 77741"
CORG_FY2022_Q2,"9950, 9960"
CORG_FY2022_Q4,9980
CORG_FY2023_Q2,10016
CORG_FY2023_Q3,10028
CORG_FY2023_Q4,10040
CORG_FY2024_Q1,"10053, 10057, 10061"
CORG_FY2024_Q2,10065
CORG_FY2024_Q3,10076
CORG_FY2024_Q4,10097
CRIJA_FY2024_Q1,70566
CRIJA_FY2024_Q2,"72243, 73958"
CRIJA_FY2024_Q3,"74133, 74372, 74455, 74744"
CRIJA_FY2024_Q4,"76056, 76678"
DARM_FY2024_Q4,"76057, 76472, 77661"
DAYS_FY2023_Q3,"66966, 67034"
DAYS_FY2023_Q4,68280
DAYS_FY2024_Q3,"74134, 74746"
DAYS_FY2024_Q4,"76058, 77662"
DOKI_FY2024_Q1,"70246, 71507"
DOKI_FY2024_Q2,"72247, 74040"
DOKI_FY2024_Q3,"74208, 74359, 74748"
DOKI_FY2024_Q4,"76059, 77528, 77742"
DONR_FY2022_Q2,"60497, 60593, 60985"
DONR_FY2023_Q2,"65629, 65739, 65819, 66333"
DONR_FY2023_Q3,"66969, 67037, 67330, 67636"
DONR_FY2023_Q4,"68144, 68283, 68736"
DONR_FY2024_Q1,"70122, 70272, 70403, 71506"
DONR_FY2024_Q2,"72246, 72341, 72472, 72649, 73307"
DONR_FY2024_Q3,"74135, 74255, 74750"
DONR_FY2024_Q4,"76060, 76167, 76302, 76560, 77663"
DOYF_FY2022_Q1,59478
DOYF_FY2022_Q3,61630
DOYF_FY2022_Q4,"62903, 63162"
DOYF_FY2023_Q2,"65630, 65768"
DOYF_FY2023_Q3,"66970, 67038"
DOYF_FY2023_Q4,"68145, 68284"
DOYF_FY2024_Q1,70123
DOYF_FY2024_Q2,72248
DOYF_FY2024_Q4,"76061, 77664"
DUDP_FY2022_Q1,60141
DUDP_FY2023_Q1,"64243, 65569"
DUDP_FY2023_Q2,"65631, 65769"
DUDP_FY2023_Q3,"66971, 67040"
DUDP_FY2023_Q4,"68146, 68285"
DUDP_FY2024_Q1,70124
DUDP_FY2024_Q2,72249
DUDP_FY2024_Q3,"74137, 74257"
DUDP_FY2024_Q4,"76062, 77665"
ELLJ_FY2024_Q3,74259
ELLJ_FY2024_Q4,"76064, 76478, 77666"
ELLM_FY2022_Q1,59977
ELLM_FY2022_Q2,60501
ELLM_FY2022_Q3,"61633, 62013, 62187"
ELLM_FY2022_Q4,"62962, 63135"
ELLM_FY2023_Q1,"64245, 64441, 64778, 65109"
ELLM_FY2023_Q2,"65633, 65740, 66869"
ELLM_FY2023_Q3,"66972, 67041, 67574"
ELLM_FY2023_Q4,"68147, 68286, 68643"
ELLM_FY2024_Q1,"70125, 70759, 71510"
ELLM_FY2024_Q2,"72250, 72650, 73175, 73470"
ELLM_FY2024_Q3,"74138, 74258"
ELLM_FY2024_Q4,"76065, 76479, 76792, 77667"
ELLR_FY2023_Q2,"66142, 66757, 66868"
ELLR_FY2023_Q3,"66973, 67042"
ELLR_FY2023_Q4,"68148, 68287, 69532"
ELLR_FY2024_Q1,"70126, 71511"
ELLR_FY2024_Q2,"72673, 73176, 73964"
ELLR_FY2024_Q3,"74139, 74260"
ELLR_FY2024_Q4,"76066, 76308, 76688, 77668"
ELLT_FY2023_Q2,"65634, 66468, 66897"
ELLT_FY2023_Q3,"66974, 67043"
ELLT_FY2023_Q4,"68149, 68288"
ELLT_FY2024_Q4,"76067, 76481, 77669"
ERBSS_FY2022_Q2,"60503, 60596"
ERBSS_FY2023_Q1,"64247, 65572"
ERBSS_FY2023_Q2,"65635, 65772"
ERBSS_FY2023_Q3,"66975, 67044"
ERBSS_FY2023_Q4,"68150, 68289"
ERBSS_FY2024_Q2,72252
ERBSS_FY2024_Q3,"74141, 74262"
ERBSS_FY2024_Q4,"76068, 77670"
FERP_FY2023_Q2,"65636, 65773, 66470"
FERP_FY2023_Q3,"66976, 67045"
FERP_FY2023_Q4,"68151, 68290"
FERP_FY2024_Q1,70129
FERP_FY2024_Q2,72253
FERP_FY2024_Q3,"74142, 74263, 74614"
FERP_FY2024_Q4,"76069, 77671"
FINM_FY2023_Q3,67335
FINM_FY2023_Q4,68152
FINM_FY2024_Q1,"70130, 71515"
FINM_FY2024_Q2,"72254, 72802, 73967"
FINM_FY2024_Q3,"74143, 74760"
FINM_FY2024_Q4,"76070, 77538, 77672"
FLK_FY2022_Q1,"59522, 60060"
FLK_FY2022_Q2,"60558, 60574"
FLK_FY2022_Q3,61609
FLK_FY2022_Q4,"62971, 63117"
FLK_FY2023_Q1,"64311, 64522, 65088"
FLK_FY2023_Q2,"65697, 65721, 66845"
FLK_FY2023_Q3,"66940, 67107, 67929"
FLK_FY2023_Q4,"68250, 68292, 70041"
FLK_FY2024_Q1,"70247, 71516"
FLK_FY2024_Q2,"72255, 72407, 74041"
FLK_FY2024_Q3,"74209, 74328"
FLK_FY2024_Q4,"76071, 77743"
FOOA_FY2024_Q1,"71335, 71595"
FOOA_FY2024_Q2,"72256, 74042"
FOOA_FY2024_Q3,"74210, 74360, 75186"
FOOA_FY2024_Q4,"76072, 76178, 76571, 76694, 77673"
FRAG_FY2022_Q1,"59523, 60063"
FRAG_FY2022_Q2,"60559, 60575"
FRAG_FY2022_Q3,61610
FRAG_FY2022_Q4,"62888, 62982, 63108"
FRAG_FY2023_Q1,"64226, 64410, 65089"
FRAG_FY2023_Q2,"65698, 65722, 66846"
FRAG_FY2023_Q3,"66941, 67108"
FRAG_FY2023_Q4,"68133, 68293"
FRAG_FY2024_Q1,"70248, 71517, 72096"
FRAG_FY2024_Q2,"72257, 74043"
FRAG_FY2024_Q3,"74211, 75958"
FRAG_FY2024_Q4,"76073, 77674"
FRYN2_FY2022_Q1,59487
FRYN2_FY2022_Q2,"60507, 60599, 60779"
FRYN2_FY2022_Q3,"61638, 62102"
FRYN2_FY2023_Q1,"64250, 64992, 65574"
FRYN2_FY2023_Q4,"68153, 68294"
FRYN2_FY2024_Q1,"70131, 71518"
FRYN2_FY2024_Q2,"72258, 73607, 73968"
FRYN2_FY2024_Q3,"74144, 74266"
FRYN2_FY2024_Q4,"76074, 76572, 77675"
FULJA_FY2024_Q1,"70192, 70981, 71519"
FULJA_FY2024_Q2,"72259, 73181, 74044"
FULJA_FY2024_Q3,"74212, 74361, 74879"
FULJA_FY2024_Q4,"76075, 76180, 76460, 77676"
GAMC_FY2023_Q1,64993
GAMC_FY2023_Q3,"66979, 67048"
GAMC_FY2023_Q4,"68154, 68295"
GAMC_FY2024_Q1,70132
GAMC_FY2024_Q2,72260
GAMC_FY2024_Q3,"74145, 74267"
GAMC_FY2024_Q4,"76076, 76969, 77677"
GAMF_FY2022_Q1,59488
GAMF_FY2023_Q3,"66980, 67049"
GAMF_FY2023_Q4,"68155, 68296, 69193"
GAMF_FY2024_Q1,70133
GAMF_FY2024_Q2,72261
GAMF_FY2024_Q4,"76077, 76970, 77678"
GAMR_FY2022_Q1,"59489, 60413"
GAMR_FY2023_Q1,"64252, 65576"
GAMR_FY2023_Q2,"65641, 65776"
GAMR_FY2023_Q3,"66981, 67050"
GAMR_FY2023_Q4,"68156, 68297"
GAMR_FY2024_Q1,70134
GAMR_FY2024_Q2,72262
GAMR_FY2024_Q4,"76078, 76971, 77679"
GOWM_FY2022_Q2,"60560, 60576, 60757"
GOWM_FY2022_Q3,"61611, 61699, 62552"
GOWM_FY2022_Q4,"62972, 63119"
GOWM_FY2023_Q1,"64312, 64422, 65090"
GOWM_FY2023_Q2,"65699, 65723, 66127, 66847"
GOWM_FY2023_Q3,"66942, 67109"
GOWM_FY2023_Q4,"68134, 68299"
GOWM_FY2024_Q1,"70193, 71524, 71965"
GOWM_FY2024_Q2,"72264, 72683, 73488, 74045"
GOWM_FY2024_Q3,"74213, 74270"
GOWM_FY2024_Q4,"76079, 76576, 77744"
HALS_FY2022_Q2,60512
HALS_FY2022_Q3,"61645, 62014, 62199"
HALS_FY2022_Q4,"62920, 63138, 64125"
HALS_FY2023_Q1,"64259, 64356, 64454, 65112"
HALS_FY2023_Q2,"65645, 65743, 66872"
HALS_FY2023_Q3,"66986, 67055, 67195"
HALS_FY2023_Q4,"68161, 68303, 68646"
HALS_FY2024_Q1,"70139, 71527"
HALS_FY2024_Q2,"72267, 72651, 73483"
HALS_FY2024_Q3,"74151, 75661"
HALS_FY2024_Q4,"76081, 76490, 76972, 77680"
HANM_FY2024_Q4,"76319, 77681"
HARJ_FY2024_Q1,"70140, 70903, 71528"
HARJ_FY2024_Q2,"72268, 72652, 73976"
HARJ_FY2024_Q3,74152
HARJ_FY2024_Q4,"76082, 76186, 77682"
HILJ_FY2024_Q4,"76930, 77548, 77745"
INGP_FY2024_Q4,"76084, 76808, 77683"
JACG_FY2024_Q4,"76085, 77684"
JENB_FY2023_Q4,"68169, 68687"
JENB_FY2024_Q4,"76087, 77685"
JENG_FY2024_Q2,"72273, 73981"
JENG_FY2024_Q4,"76088, 77686"
JOHB_FY2022_Q4,63661
JOHB_FY2023_Q1,"64267, 65582"
JOHB_FY2023_Q2,"65652, 65746, 66678, 66876"
JOHB_FY2023_Q3,"66992, 67062"
JOHB_FY2023_Q4,"68171, 68313, 68828"
JOHB_FY2024_Q1,"70148, 71537"
JOHB_FY2024_Q2,"72274, 72661, 73982"
JOHB_FY2024_Q3,"74157, 74280, 74891"
JOHB_FY2024_Q4,"76089, 77238, 77687"
JOND_FY2022_Q1,60021
JOND_FY2022_Q2,"60520, 60607"
JOND_FY2022_Q3,"61652, 61940"
JOND_FY2022_Q4,"62927, 63178"
JOND_FY2024_Q4,"76090, 77688"
JONK_FY2024_Q4,"76931, 77241, 77746"
KELC_FY2023_Q1,"64570, 65550"
KELC_FY2023_Q2,"65655, 65749, 66490, 66679"
KELC_FY2023_Q3,"66994, 67064, 67265"
KELC_FY2023_Q4,"68173, 68316, 68423, 69704"
KELC_FY2024_Q1,"70150, 70300, 70430"
KELC_FY2024_Q3,"74214, 74282, 74484"
KELC_FY2024_Q4,"76091, 76328, 76983, 77689"
KERJ_FY2022_Q2,"60521, 60608, 61118, 61373"
KERJ_FY2022_Q3,"61653, 62831"
KERJ_FY2022_Q4,"62929, 63179"
KERJ_FY2023_Q3,"66995, 67065"
KERJ_FY2024_Q3,"74159, 74283"
KERJ_FY2024_Q4,"76092, 77690"
KIEJ_FY2024_Q4,"76197, 77691"
LABJ_FY2023_Q4,"68426, 68708"
LABJ_FY2024_Q1,70152
LABJ_FY2024_Q4,"76093, 77692"
LEID_FY2024_Q2,"72279, 73986"
LEID_FY2024_Q4,"76094, 77693"
LOHJ_FY2023_Q1,"64271, 65118"
LOHJ_FY2023_Q2,"65657, 65750"
LOHJ_FY2023_Q3,"66996, 67067, 67521"
LOHJ_FY2023_Q4,"68235, 68319"
LOHJ_FY2024_Q1,"70153, 71544"
LOHJ_FY2024_Q2,"72281, 72502, 72653, 73628"
LOHJ_FY2024_Q3,"74162, 74286, 74780"
LOHJ_FY2024_Q4,"76095, 76718, 76820, 77695"
LYOJ_FY2022_Q1,"59496, 59735, 60101, 60160"
LYOJ_FY2022_Q2,"60522, 60609, 60686"
LYOJ_FY2022_Q3,"61654, 61894"
LYOJ_FY2022_Q4,62891
MACK_FY2023_Q3,67095
MACK_FY2023_Q4,"68177, 68428, 68653"
MACK_FY2024_Q1,"70154, 71545, 72117"
MACK_FY2024_Q2,"72282, 73988"
MACK_FY2024_Q3,"74163, 74287"
MACK_FY2024_Q4,"76096, 77696"
MANI_FY2023_Q3,67392
MANI_FY2023_Q4,"68178, 68321, 69395, 69512"
MANI_FY2024_Q1,"70155, 71396, 71546"
MANI_FY2024_Q2,"72283, 72374, 72828, 73630"
MANI_FY2024_Q3,"74164, 74288, 75982"
MANI_FY2024_Q4,"76097, 77563, 77697"
MARI_FY2022_Q1,60212
MARI_FY2022_Q2,"60562, 60577"
MARI_FY2022_Q3,61613
MARI_FY2022_Q4,"62973, 63122, 63973"
MARI_FY2024_Q1,"70249, 70790, 71547"
MARI_FY2024_Q2,"72284, 73895, 74046"
MARI_FY2024_Q3,"74216, 74362, 74643"
MARI_FY2024_Q4,"76098, 77747"
MCAA_FY2024_Q4,"76099, 76204, 77698"
MCAI_FY2022_Q3,61655
MCAI_FY2023_Q2,"65659, 65783, 66074"
MCAI_FY2023_Q4,"68180, 68324"
MCAI_FY2024_Q2,72286
MCAI_FY2024_Q3,"74165, 74493"
MCAI_FY2024_Q4,"76100, 77699"
MCKK_FY2022_Q3,61948
MCKK_FY2022_Q4,"62935, 63144, 63750"
MCKK_FY2023_Q1,"64276, 64372, 64578, 64811, 65120"
MCKK_FY2023_Q2,"65662, 65752, 65852, 66394, 66880"
MCKK_FY2023_Q3,"67000, 67071"
MCKK_FY2023_Q4,"68236, 68327, 69715"
MCKK_FY2024_Q1,"70160, 71266, 71552, 71800"
MCKK_FY2024_Q2,"72288, 73210, 73504"
MCKK_FY2024_Q3,"74168, 74292"
MCKK_FY2024_Q4,"76102, 76511, 77700"
MERJ_FY2024_Q4,"76103, 76512, 77253, 77701"
NELJ_FY2022_Q1,"59525, 60064"
NELJ_FY2022_Q2,"60563, 60578"
NELJ_FY2022_Q3,61614
NELJ_FY2022_Q4,"62974, 63124"
NELJ_FY2023_Q1,"64315, 65027, 65097"
NELJ_FY2023_Q2,"65702, 65728, 66853"
NELJ_FY2023_Q3,"66948, 67112"
NELJ_FY2023_Q4,"68253, 68329, 69594"
NELJ_FY2024_Q1,"70250, 71554"
NELJ_FY2024_Q2,"72290, 72835, 74048"
NELJ_FY2024_Q3,"74219, 74329"
NELJ_FY2024_Q4,"76105, 77748"
NICR_FY2023_Q3,67676
NICR_FY2023_Q4,68185
NICR_FY2024_Q1,"70162, 70442, 71402, 71555"
NICR_FY2024_Q2,"72291, 73506, 73996"
NICR_FY2024_Q3,"74170, 74498"
NICR_FY2024_Q4,"76106, 76343, 76997"
NIES_FY2024_Q4,"76461, 77749"
NOWD_FY2022_Q3,"61887, 62002"
NOWD_FY2022_Q4,"62975, 63125"
NOWD_FY2023_Q1,"64227, 65098"
NOWD_FY2023_Q2,"65613, 65729, 65906, 66546"
NOWD_FY2023_Q3,66949
NOWD_FY2023_Q4,"68254, 68330, 69403"
NOWD_FY2024_Q1,"70251, 71214, 71556"
NOWD_FY2024_Q2,"72292, 73348"
NOWD_FY2024_Q3,"74220, 74364, 74499"
NOWD_FY2024_Q4,"76107, 76210, 77750"
NUAG_FY2022_Q1,"59526, 60065, 60308"
NUAG_FY2022_Q2,"60482, 60579"
NUAG_FY2022_Q3,61615
NUAG_FY2022_Q4,"62976, 62981, 63109, 63594"
NUAG_FY2023_Q1,"64228, 64815, 65099"
NUAG_FY2023_Q2,"65614, 65730, 66855"
NUAG_FY2023_Q3,"66950, 67026, 67120"
NUAG_FY2023_Q4,"68255, 68331"
NUAG_FY2024_Q1,"70252, 70798, 71557"
NUAG_FY2024_Q2,"72293, 74050"
NUAG_FY2024_Q3,"74221, 74296"
NUAG_FY2024_Q4,"76108, 77703"
OBRA_FY2024_Q2,"73944, 74061"
OBRA_FY2024_Q3,"74232, 74365, 74908"
OBRA_FY2024_Q4,"76109, 76829, 77751"
PEND_FY2022_Q2,"60527, 60612"
PEND_FY2023_Q1,"64279, 64375, 64707, 65096"
PEND_FY2024_Q2,"72294, 72512"
PEND_FY2024_Q4,"76110, 77421, 77704"
PRIM_FY2022_Q4,"62977, 63127"
PRIM_FY2023_Q1,"64316, 65100"
PRIM_FY2023_Q2,"65666, 65732, 66177, 66857"
PRIM_FY2023_Q3,"66952, 67114"
PURT_FY2022_Q2,60641
PURT_FY2022_Q3,"61616, 62006"
PURT_FY2022_Q4,"62978, 63128, 63303, 64072"
PURT_FY2023_Q1,"64317, 65101"
PURT_FY2023_Q2,"65703, 65706"
PURT_FY2023_Q3,"66953, 67115, 68036"
PURT_FY2023_Q4,"68256, 68334, 68821"
PURT_FY2024_Q1,"70253, 71559, 72125"
PURT_FY2024_Q2,"72295, 73894, 74051"
PURT_FY2024_Q3,"74223, 74366, 75216"
PURT_FY2024_Q4,"76111, 76450, 76604, 77752"
RATC_FY2022_Q3,"61952, 62130"
RATC_FY2022_Q4,"62939, 63146, 63247, 63499"
REAB_FY2023_Q2,66595
REAJ_FY2022_Q4,"63976, 64074"
REAJ_FY2023_Q1,"64280, 65587"
REAJ_FY2023_Q2,"65667, 65708, 66596, 66881"
REAJ_FY2023_Q3,"67002, 67075, 67374"
REAJ_FY2023_Q4,"68187, 68335, 69405"
REAJ_FY2024_Q1,"70164, 71560, 72126"
REAJ_FY2024_Q2,"72296, 72705, 72838"
REAJ_FY2024_Q3,"74171, 74298, 75831"
REAJ_FY2024_Q4,"76112, 76605, 77140, 77705"
RIDL_FY2022_Q4,"62940, 63147, 63248, 64182"
RIDL_FY2023_Q1,"64281, 64524, 64709, 65122"
RIDL_FY2023_Q2,"65668, 65754, 65953, 66080, 66882"
RIDL_FY2023_Q3,"67003, 67076"
RIDL_FY2023_Q4,"68237, 68336, 68789, 69513"
RIDL_FY2024_Q1,"70165, 70445, 71271, 71561"
RIDL_FY2024_Q2,"72297, 72654, 73867"
RIDL_FY2024_Q3,"74172, 74299, 74658, 75218"
RIDL_FY2024_Q4,"76113, 76606, 76736, 77706"
RILB_FY2023_Q2,"65669, 66915"
RILB_FY2023_Q4,"68189, 68337, 69065"
RILB_FY2024_Q1,"70166, 70802, 71562"
RILB_FY2024_Q4,"76114, 76833, 77707"
ROXA_FY2024_Q2,"73779, 74062, 74064"
ROXA_FY2024_Q3,"74233, 74304, 75221"
ROXA_FY2024_Q4,"76115, 76739, 76834, 77753"
RUTB_FY2023_Q2,"65671, 65786, 66505"
RUTB_FY2023_Q3,67006
RUTB_FY2023_Q4,"68192, 68339"
RUTB_FY2024_Q1,70169
RUTB_FY2024_Q2,72300
RUTB_FY2024_Q4,"76116, 77708"
RUTY_FY2022_Q3,61664
RUTY_FY2023_Q1,"64284, 65590"
RUTY_FY2023_Q2,"65672, 65787"
RUTY_FY2023_Q3,"67007, 67080"
RUTY_FY2023_Q4,"68193, 68341"
RUTY_FY2024_Q1,"70170, 71566"
RUTY_FY2024_Q2,"72301, 72844"
RUTY_FY2024_Q3,"74176, 74303, 75364"
RUTY_FY2024_Q4,"76118, 76611, 77709"
RYAK_FY2024_Q4,"77263, 77427, 77754"
SALA_FY2024_Q4,"76149, 76452, 77428, 77755"
SATS_FY2023_Q4,"68194, 68450, 68660"
SATS_FY2024_Q1,"70171, 70320, 71567"
SATS_FY2024_Q2,"72302, 72657, 74004"
SATS_FY2024_Q3,"74177, 74305, 74509"
SATS_FY2024_Q4,"76119, 76612, 77710"
SAVJ_FY2023_Q1,"64286, 65591"
SAVJ_FY2023_Q2,"65673, 65788"
SAVJ_FY2024_Q3,"74178, 74306"
SAVJ_FY2024_Q4,"76037, 77711"
SCHM_FY2024_Q2,72304
SCHM_FY2024_Q4,"76354, 76525, 77712"
SCOC_FY2022_Q4,"62945, 63129, 63597"
SCOC_FY2023_Q1,"64318, 64383, 65103"
SCOC_FY2023_Q2,"65615, 65733, 66860"
SCOC_FY2023_Q3,"66954, 67213, 67622"
SCOC_FY2023_Q4,"68257, 68344, 68822"
SCOC_FY2024_Q1,"70254, 71570"
SCOC_FY2024_Q2,"72305, 73062, 74052"
SCOC_FY2024_Q3,"74224, 74367"
SCOC_FY2024_Q4,"76122, 76222, 76747, 77756"
SHED_FY2024_Q3,"74180, 74308"
SHED_FY2024_Q4,"76123, 77713"
SHEJ_FY2024_Q4,"76124, 76224, 77433, 77714"
SICS_FY2023_Q4,"68197, 68346, 68454, 69415"
SICS_FY2024_Q1,"70175, 70323, 71148, 71571"
SICS_FY2024_Q3,"74225, 74310, 74672"
SICS_FY2024_Q4,"76036, 76225, 76528, 77011, 77715"
STEM_FY2024_Q4,"76127, 76529, 76618, 76751, 77716"
STES_FY2022_Q1,"59527, 60066"
STES_FY2022_Q2,"60564, 60581, 60646"
STES_FY2022_Q3,61618
STES_FY2022_Q4,"62979, 63130, 63495"
STES_FY2023_Q1,"64319, 65104"
STES_FY2023_Q2,"65704, 65735, 65806, 66862"
STES_FY2023_Q3,"66956, 67117"
STES_FY2023_Q4,"68259, 68348"
STES_FY2024_Q1,"70256, 71574"
STES_FY2024_Q3,"74227, 74311"
STES_FY2024_Q4,"76128, 77757"
SUAK_FY2024_Q4,"76129, 77717"
SUTJ_FY2022_Q4,64085
SUTJ_FY2023_Q1,"64290, 65594"
SUTJ_FY2023_Q2,"65677, 65756, 66884"
SUTJ_FY2023_Q3,"67011, 67084"
SUTJ_FY2023_Q4,"68199, 68350"
SUTJ_FY2024_Q1,"70178, 71577"
SUTJ_FY2024_Q2,"72311, 73363"
SUTJ_FY2024_Q3,"74183, 74314"
SUTJ_FY2024_Q4,"76130, 77718"
SZIR_FY2022_Q2,"60642, 60699"
SZIR_FY2022_Q3,"61671, 62055"
SZIR_FY2022_Q4,"62950, 63150, 63922"
SZIR_FY2023_Q1,"64291, 64593, 64829, 65123, 65512"
SZIR_FY2023_Q2,"65616, 65757, 65964"
SZIR_FY2023_Q3,"67012, 67085, 67364, 67690"
SZIR_FY2023_Q4,"68200, 68351, 68460, 68663"
SZIR_FY2024_Q1,"70179, 71578, 71665"
SZIR_FY2024_Q2,"72312, 72658, 74013"
SZIR_FY2024_Q3,"74184, 74315, 76018"
SZIR_FY2024_Q4,"76131, 76230, 77438, 77719"
TAPR_FY2024_Q4,"76231, 77720"
TAYC(2)_FY2024_Q1,70364
TAYC(2)_FY2024_Q4,"76133, 77721"
TOTK_FY2022_Q1,59653
TOTK_FY2022_Q3,61674
TOTK_FY2023_Q1,"64293, 65596"
TOTK_FY2023_Q2,"65679, 65792"
